市町村,進学率
夕張市,30.77
岩見沢市,47.64
美唄市,57.73
芦別市,28.57
三笠市,12.12
滝川市,53.15
砂川市,7.89
深川市,29.76
奈井江町,7.14
長沼町,33.33
栗山町,25.64
月形町,22.22
新十津川町,0.0
札幌市,63.97
江別市,67.94
千歳市,48.58
恵庭市,45.8
北広島市,74.27
石狩市,50.44
当別町,20.0
小樽市,46.84
寿都町,35.71
蘭越町,0.0
ニセコ町,10.0
真狩村,3.7
留寿都村,21.43
倶知安町,54.07
岩内町,34.18
余市町,23.68
室蘭市,53.39
苫小牧市,43.04
登別市,16.07
伊達市,43.01
壮瞥町,11.11
白老町,41.45
厚真町,4.76
洞爺湖町,6.67
安平町,9.09
むかわ町,37.25
日高町,41.94
平取町,46.15
浦河町,43.18
えりも町,25.0
新ひだか町,40.21
函館市,48.66
北斗市,17.2
松前町,25.0
福島町,20.0
知内町,29.79
七飯町,20.62
森町,10.34
八雲町,25.33
長万部町,6.67
江差町,44.07
上ノ国町,25.0
奥尻町,47.37
せたな町,31.48
旭川市,51.36
士別市,46.09
名寄市,51.4
富良野市,35.09
鷹栖町,16.67
上川町,0.0
東川町,10.71
美瑛町,8.33
上富良野町,13.79
南富良野町,33.33
剣淵町,33.33
下川町,21.88
美深町,23.08
音威子府村,41.67
幌加内町,16.67
留萌市,38.0
苫前町,33.33
羽幌町,38.33
遠別町,9.09
天塩町,27.78
稚内市,53.25
浜頓別町,28.57
枝幸町,28.57
豊富町,36.36
礼文町,44.44
利尻町,45.0
北見市,51.66
網走市,46.37
紋別市,35.17
美幌町,23.53
津別町,36.36
斜里町,14.81
清里町,30.56
訓子府町,0.0
置戸町,10.0
佐呂間町,28.0
遠軽町,38.04
湧別町,31.25
興部町,9.09
雄武町,38.89
大空町,29.63
帯広市,49.9
音更町,28.33
士幌町,13.79
上士幌町,34.69
鹿追町,40.0
清水町,26.58
芽室町,39.16
更別村,9.38
大樹町,17.39
広尾町,38.89
幕別町,23.96
池田町,13.51
本別町,44.44
足寄町,28.33
釧路市,45.02
釧路町,14.61
厚岸町,17.39
浜中町,21.05
標茶町,28.85
弟子屈町,45.83
白糠町,30.0
根室市,31.79
別海町,31.82
中標津町,33.68
標津町,10.0
羅臼町,28.57
default,52.8
